"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","FYPilot API Tests","0","Admin","0","1","admin update cohort cycle — Wrong role","0"
"0","FYPilot API Tests","0","Admin","0","1","admin announcement by id — Not found","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty announcement delete — Happy path","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty dashboard insights — Invalid body or query","0"
"0","FYPilot API Tests","0","Faculty","0","1","supervisor groups dropdown — Wrong role","0"
"0","FYPilot API Tests","0","Admin","0","1","admin milestone evaluations — Not found","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty admin announcements — Not found","0"
"0","FYPilot API Tests","0","Student","1","0","announcement templates — Auth missing","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty accept request — Wrong role","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty jury evaluations by milestone — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin faculty profile update — Wrong role","0"
"0","FYPilot API Tests","0","Admin","1","0","admin list announcements — Auth missing","0"
"0","FYPilot API Tests","0","Student","1","0","announcements supervisor — Auth missing","0"
"0","FYPilot API Tests","0","Admin","0","1","admin announcement by id — Wrong role","0"
"0","FYPilot API Tests","0","Admin","1","0","admin submission evaluation update — Auth missing","0"
"0","FYPilot API Tests","0","Admin","0","1","admin announcement file download — Wrong role","0"
"0","FYPilot API Tests","0","Faculty","0","1","supervisor my groups — Not found","0"
"0","FYPilot API Tests","0","Faculty","1","0","faculty announcement by id — Auth missing","0"
"0","FYPilot API Tests","0","Admin","0","1","admin list groups — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin patch milestone — Wrong role","0"
"0","FYPilot API Tests","0","Student","0","1","announcements supervisor — Happy path","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty accept request — Invalid body or query","0"
"0","Auth","0","Session / profile","1","0","JWT bearer returns UserProfileResponse","0"
"0","FYPilot API Tests","0","Admin","0","1","admin create milestone — Happy path","0"
"0","FYPilot API Tests","0","Jury","0","1","jury assignment status by batch — Not found","0"
"0","FYPilot API Tests","0","Student","0","1","document types (any authenticated) — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin patch milestone — Happy path","0"
"0","Auth","0","Register","1","0","Wrong types: signup_role_not_string","0"
"0","FYPilot API Tests","0","Admin","0","1","admin update cohort cycle — Invalid body or query","0"
"0","FYPilot API Tests","0","Student","0","1","announcements admin — Happy path","0"
"0","FYPilot API Tests","0","Admin","1","0","admin patch profile — Auth missing","0"
"0","FYPilot API Tests","0","Faculty","0","1","supervisor my groups — Wrong role","0"
"0","FYPilot API Tests","0","Jury","0","1","delete all assignments — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin submission file download — Not found","0"
"0","FYPilot API Tests","0","Faculty","1","0","faculty admin announcements — Auth missing","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty wizard profile — Not found","0"
"0","FYPilot API Tests","0","Faculty","0","1","supervisor groups dropdown — Invalid body or query","0"
"0","FYPilot API Tests","0","Faculty","1","0","faculty dashboard insights — Auth missing","0"
"0","FYPilot API Tests","0","Admin","0","1","admin milestones list — Not found","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty accept request — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin delete milestone — Not found","0"
"0","FYPilot API Tests","0","Student","1","0","official submissions list — Auth missing","0"
"0","FYPilot API Tests","0","Jury","0","1","jury pairs dropdown — Happy path","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty patch profile — Wrong role","0"
"0","FYPilot API Tests","0","Student","0","1","milestone by id — Wrong role","0"
"0","FYPilot API Tests","0","Admin","1","0","admin assign cosupervisor — Auth missing","0"
"0","FYPilot API Tests","0","Admin","1","0","admin submission file download — Auth missing","0"
"0","FYPilot API Tests","0","Student","0","1","dashboard insights — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin submission evaluation update — Happy path","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty wizard profile — Happy path","0"
"0","FYPilot API Tests","0","Student","0","1","unofficial submissions list — Happy path","0"
"0","FYPilot API Tests","0","Student","0","1","official submission detail — Wrong role","0"
"0","FYPilot API Tests","0","Admin","0","1","admin patch profile — Not found","0"
"0","FYPilot API Tests","0","Student","0","1","official submissions list — Not found","0"
"0","Auth","0","Session / profile","2","0","Invalid JWT cannot be decoded","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty announcement delete — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin list groups — Wrong role","0"
"0","FYPilot API Tests","0","Admin","0","1","admin wizard profile — Invalid body or query","0"
"0","FYPilot API Tests","0","Student","0","1","announcement templates — Wrong role","0"
"0","FYPilot API Tests","0","Faculty","1","0","faculty announcements list — Auth missing","0"
"0","FYPilot API Tests","0","Student","0","1","wizard profile — Wrong role","0"
"0","FYPilot API Tests","0","Jury","1","0","patch assignment jury pair — Auth missing","0"
"0","FYPilot API Tests","0","Admin","0","1","admin list announcements — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin announcement file download — Not found","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty admin announcements — Wrong role","0"
"0","Auth","1","Session / profile","1","0","Missing Authorization — global 401 envelope","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty request details — Wrong role","0"
"0","FYPilot API Tests","0","Admin","0","1","admin assign cosupervisor — Not found","0"
"0","FYPilot API Tests","0","Jury","0","1","delete all assignments — Wrong role","0"
"0","FYPilot API Tests","0","Admin","0","1","admin submission responses — Wrong role","0"
"0","FYPilot API Tests","0","Student","1","0","student profile — Auth missing","0"
"0","FYPilot API Tests","0","Faculty","1","0","supervisor my groups — Auth missing","0"
"0","FYPilot API Tests","0","Admin","0","1","admin submission evaluation update — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin milestone evaluations — Happy path","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty profile — Wrong role","0"
"0","FYPilot API Tests","0","Student","0","1","dashboard insights — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin faculty dropdown — Wrong role","0"
"0","FYPilot API Tests","0","Jury","0","1","patch assignment jury pair — Wrong role","0"
"0","FYPilot API Tests","0","Admin","0","1","admin delete milestone — Wrong role","0"
"0","Auth","0","Login","1","0","Invalid password — generic error message","0"
"0","FYPilot API Tests","0","Student","0","1","dashboard insights — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin faculty profile — Happy path","0"
"0","FYPilot API Tests","0","Faculty","0","1","supervisor groups dropdown — Happy path","0"
"0","FYPilot API Tests","0","Student","0","1","announcements supervisor — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","1","0","admin profile — Auth missing","0"
"0","FYPilot API Tests","0","Jury","1","0","jury assignments list — Auth missing","0"
"0","FYPilot API Tests","0","Admin","0","1","admin dashboard insights — Wrong role","0"
"0","FYPilot API Tests","0","Faculty","1","0","faculty accept request — Auth missing","0"
"0","Auth","0","Register","1","0","Validation: signup_missing_password","0"
"0","FYPilot API Tests","0","Admin","0","1","admin list faculty — Happy path","0"
"0","FYPilot API Tests","0","Faculty","0","1","supervisor group profile — Not found","0"
"0","Auth","0","Login","1","0","Unknown email — same error as wrong password","0"
"0","FYPilot API Tests","0","Admin","0","1","admin submission list — Happy path","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty announcement by id — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin profile — Invalid body or query","0"
"0","FYPilot API Tests","0","Student","0","1","announcements supervisor — Wrong role","0"
"0","FYPilot API Tests","0","Admin","0","1","admin list announcements — Wrong role","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty pending invites — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin remove supervisor — Wrong role","0"
"0","FYPilot API Tests","0","Jury","0","1","patch assignment jury pair — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin patch milestone — Invalid body or query","0"
"0","FYPilot API Tests","0","Faculty","1","0","faculty milestones list — Auth missing","0"
"0","FYPilot API Tests","0","Student","0","1","wizard profile — Invalid body or query","0"
"0","FYPilot API Tests","0","Student","1","0","milestones list — Auth missing","0"
"0","FYPilot API Tests","0","Faculty","0","1","supervisor groups dropdown — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin submission details — Invalid body or query","0"
"0","FYPilot API Tests","0","Student","0","1","student profile — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin announcement file download — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin profile — Wrong role","0"
"0","FYPilot API Tests","0","Admin","1","0","admin milestone evaluations — Auth missing","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty pending invites — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin submission file download — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin faculty profile update — Happy path","0"
"0","FYPilot API Tests","0","Student","0","1","announcement templates — Not found","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty profile — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin list students — Happy path","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty pending invites — Not found","0"
"0","FYPilot API Tests","0","Student","0","1","official submission detail — Not found","0"
"0","FYPilot API Tests","0","Faculty","1","0","faculty milestone by id — Auth missing","0"
"0","FYPilot API Tests","0","Admin","1","0","admin wizard profile — Auth missing","0"
"0","FYPilot API Tests","0","Jury","0","1","jury assignments list — Wrong role","0"
"0","FYPilot API Tests","0","Jury","0","1","jury pairs dropdown — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","1","0","admin toggle student active — Auth missing","0"
"0","FYPilot API Tests","0","Admin","0","1","admin announcement file download — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin group profile — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin submission evaluation update — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","1","0","admin submission list — Auth missing","0"
"0","FYPilot API Tests","0","Student","0","1","milestones list — Wrong role","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty jury groups by milestone — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin remove cosupervisor — Wrong role","0"
"0","FYPilot API Tests","0","Student","0","1","official submission detail — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","1","0","admin submission evaluation detail — Auth missing","0"
"0","FYPilot API Tests","0","Admin","0","1","admin assign cosupervisor — Happy path","0"
"0","FYPilot API Tests","0","Student","0","1","unofficial submissions list — Wrong role","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty jury groups by milestone — Happy path","0"
"0","Auth","0","Login","1","0","Login validation: login_missing_email","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty admin announcements — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin group profile — Happy path","0"
"0","Auth","0","Password reset","1","0","Forgot password — generic success message","0"
"0","FYPilot API Tests","0","Student","0","1","patch student profile — Happy path","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty milestone evaluations list — Wrong role","0"
"0","FYPilot API Tests","0","Student","0","1","unofficial submissions list — Invalid body or query","0"
"0","FYPilot API Tests","0","Student","0","1","announcements admin — Not found","0"
"0","FYPilot API Tests","0","Student","1","0","milestone by id — Auth missing","0"
"0","FYPilot API Tests","0","Student","0","1","student profile — Wrong role","0"
"0","Auth","0","Login","1","0","Login returns access_token and token_type bearer","0"
"0","FYPilot API Tests","0","Student","0","1","milestone by id — Not found","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty milestone evaluations list — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","1","0","admin delete milestone — Auth missing","0"
"0","FYPilot API Tests","0","Student","1","0","patch student profile — Auth missing","0"
"0","FYPilot API Tests","0","Admin","0","1","admin group profile — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin remove cosupervisor — Not found","0"
"0","Auth","0","Login","1","0","Login validation: login_missing_password","0"
"0","FYPilot API Tests","0","Student","0","1","announcements supervisor — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin remove supervisor — Happy path","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty request details — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin submission file download — Wrong role","0"
"0","FYPilot API Tests","0","Admin","1","0","admin list groups — Auth missing","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty announcement by id — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin patch profile — Wrong role","0"
"0","FYPilot API Tests","0","Admin","0","1","admin submission details — Not found","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty accept request — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin milestones list — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin proposal evaluation config — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin update cohort cycle — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin faculty profile update — Invalid body or query","0"
"0","FYPilot API Tests","0","Student","1","0","wizard profile — Auth missing","0"
"0","FYPilot API Tests","0","Admin","0","1","admin wizard profile — Wrong role","0"
"0","FYPilot API Tests","0","Jury","0","1","jury pairs dropdown — Wrong role","0"
"0","FYPilot API Tests","0","Admin","0","1","admin submission responses — Invalid body or query","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty jury evaluations by milestone — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin list faculty — Invalid body or query","0"
"0","FYPilot API Tests","0","Faculty","1","0","supervisor group profile — Auth missing","0"
"0","FYPilot API Tests","0","Admin","0","1","admin create milestone — Not found","0"
"0","FYPilot API Tests","0","Jury","0","1","patch assignment jury pair — Not found","0"
"0","FYPilot API Tests","0","Faculty","1","0","faculty reject request — Auth missing","0"
"0","FYPilot API Tests","0","Faculty","1","0","faculty jury groups by milestone — Auth missing","0"
"0","FYPilot API Tests","0","Admin","0","1","admin wizard profile — Not found","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty profile — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin delete announcement — Happy path","0"
